year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g57bnn59229,ca,37.0,36073.0,gray,black,financial services remarketing (lease),19250,19500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Volvo,S60,T5,Sedan,automatic,yv1622fs3c2089011,ca,22.0,20697.0,white,beige,fiserv/usb dealer services northstar exchange,17350,15750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Coupe,automatic,wbake5c55be754738,ca,28.0,34092.0,red,black,financial services remarketing (lease),20100,18500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Volkswagen,Jetta,Base,Sedan,automatic,3vw2k7aj3cm333410,ca,1.0,31935.0,—,black,vw credit,8550,7700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c5xbf127784,ca,35.0,35158.0,gray,black,financial services remarketing (lease),19950,18900,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Volkswagen,Jetta SportWagen,S PZEV,Wagon,automatic,3vwpp7aj1cm641571,ca,43.0,91794.0,white,black,wholesale motor sales inc,7025,8100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Coupe,automatic,wbake5c50be754954,ca,21.0,49662.0,gray,black,financial services remarketing (lease),18900,18000,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2012,Volkswagen,GTI,PZEV,Hatchback,automatic,wvwhd7aj4cw325923,ca,36.0,51067.0,gray,gray,walters auto sales/service inc,13850,15250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g51bnm83913,ca,44.0,26145.0,black,tan,financial services remarketing (lease),20600,21250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335i,Sedan,automatic,wbapm5c55be575995,ca,41.0,46979.0,white,black,financial services remarketing (lease),23000,23000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g5xbnm80203,ca,34.0,29798.0,black,black,newport coast auto com,20100,20500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g53bnm82973,ca,39.0,26763.0,red,black,financial services remarketing (lease),20500,22000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph7g5xbnn07962,ca,39.0,46565.0,gray,black,financial services remarketing (lease),18300,17300,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,Audi,A3,2.0T Premium,Wagon,automatic,waubfafm5ba116005,ca,27.0,43098.0,—,gray,wheels exchange llc,16050,16000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,BMW,5 Series,535i xDrive,Sedan,automatic,wbafu7c58bc875162,ca,38.0,51203.0,blue,—,financial services remarketing (lease),27200,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Volvo,S60,T5,Sedan,automatic,yv1622fs4c2085209,ca,2.0,52925.0,gray,black,fiserv/usb dealer services northstar exchange,14500,12750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Volkswagen,Tiguan,SE,SUV,automatic,wvgav7axxcw001891,ca,1.0,15750.0,—,beige,vw credit,16950,13900,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2011,BMW,3 Series,335d,Sedan,automatic,wbapn7c52bf183611,ca,46.0,46258.0,black,black,financial services remarketing (lease),21200,22250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335is,Convertible,automatic,wbadx1c55be570637,ca,43.0,40681.0,black,—,financial services remarketing (lease),29900,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g5xbnm82338,ca,48.0,27373.0,white,beige,financial services remarketing (lease),20700,18500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,BMW,5 Series,535i,Sedan,automatic,wbafr7c57bc805654,ca,46.0,21645.0,black,black,financial services remarketing (lease),30800,34500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
